Alanine,Valine,Leucine,Isoleucine,Glycine,Proline,Serine,Threonine,beta-alanine,GABA,Aspartate,Methionine,O-acetyl-serine,Phenylalanine,Glutamine,Lysine,Tyrosine,Threonic acid,Pyruvic acid,Succinic acid,Fumaric acid,Malic acid,Glycolic acid,Benzoic acid,Nicotinic acid,Gluconic acid,Shikimate,Arabitol,Fructose ,Glucose ,Sucrose,Maltose ,myo-inositol,Uracil,Sinapic acid
0.7947,0.8316,0.8916,0.9909,0.7828,1.3205,0.9959,1.2322,1.4035,1.8420,1.0139,1.1771,0.9537,0.8746,1.4094,1.0920,0.8864,0.8451,1.7783,0.9302,0.7368,0.6968,0.8650,1.0102,1.0677,1.3174,1.1707,1.2724,0.6400,0.5589,1.0134,1.1763,1.0240,0.4787,0.9684
0.5557,0.6335,1.0303,1.1154,0.7627,0.5197,1.2956,1.4522,1.3539,1.4615,1.1852,0.8511,0.8234,0.7509,0.6053,0.9406,1.1124,1.1027,1.1922,1.1037,1.3332,1.2789,1.4361,1.2032,0.7952,0.9142,0.7971,1.6121,0.4828,0.3598,1.0455,0.7243,0.9684,1.1974,0.9979
0.5841,0.8094,1.1911,1.1730,0.4247,0.7387,0.8305,1.0576,0.9465,1.4085,0.8266,0.7813,1.0372,0.9207,0.6401,1.2206,1.0794,0.9573,1.0947,1.0528,0.6715,0.7454,0.9274,0.8748,1.1080,1.1894,0.8662,0.7105,2.3576,1.2570,0.6871,1.3034,1.1120,0.9819,0.9820
0.6155,0.8766,1.0893,1.0751,0.7771,1.1925,1.1583,0.9400,1.2534,1.8909,0.8982,1.0036,0.9163,0.9243,0.8370,1.3361,1.0751,0.9828,1.2957,0.7838,1.0150,1.0027,0.5967,1.1098,0.7580,0.9871,0.9057,1.0375,0.9916,0.9919,0.9715,1.0854,0.9547,0.6801,1.0288
0.7467,1.0125,1.0359,1.2181,0.7031,0.7077,1.1777,0.9287,1.4301,1.1388,1.1671,1.1204,0.7587,1.0151,0.7775,1.2137,1.2411,0.6947,0.9990,1.1300,1.2089,1.3730,1.3539,1.1476,1.3602,0.9349,0.9145,1.3949,0.5065,0.3355,0.7859,0.7222,0.8417,1.2934,0.9992
0.8070,1.0083,1.2263,1.2776,0.8271,0.4735,0.9391,0.7268,1.2603,0.8230,1.4375,0.9540,0.6364,1.2637,1.6962,1.4315,1.5867,0.8066,1.2789,0.7686,0.9212,1.7010,0.6829,0.8091,1.0693,0.9962,0.7456,0.7843,0.3596,0.3435,0.8510,1.1265,0.7325,0.3899,1.0838
0.9587,0.8707,0.9679,0.9446,1.1259,0.6758,1.3728,1.0528,1.2134,0.7821,1.3205,0.8982,0.8953,0.9392,1.2891,1.0244,1.2383,0.7142,1.0993,0.8282,1.2947,1.5561,0.8689,1.1532,1.0682,0.9921,0.8488,1.1655,1.1250,0.5669,1.1423,1.0123,0.9676,0.7083,1.3058
0.7162,0.9443,1.1360,1.0706,1.0258,0.5920,1.1160,1.0196,1.4352,0.9495,0.9937,1.1249,0.7967,0.9964,1.0935,1.1657,1.1698,0.6547,0.9738,0.9484,1.1022,1.0568,1.1614,0.9344,1.3468,0.9532,0.9163,0.9175,0.8772,0.5119,1.0689,0.8241,0.8358,1.0382,0.8234
0.9547,0.9652,0.8462,0.9442,8.1258,2.1371,0.9580,1.0706,0.6145,0.5768,0.7264,1.5049,1.1126,1.3989,1.5431,0.7122,0.5888,0.8467,1.4986,0.9468,1.3291,1.3077,2.2412,0.9875,0.9970,1.1906,2.0398,0.7061,4.5370,3.5777,1.5706,0.9842,1.4674,0.7473,1.0213
1.0394,0.8734,1.0618,1.0572,6.5366,1.3050,0.8909,1.0950,0.6860,0.6081,0.7885,1.2270,0.9235,1.3811,1.5917,0.8803,1.0285,0.9477,1.3814,0.9235,0.9444,0.9170,1.9511,0.8911,0.6851,1.1357,1.1594,0.8703,1.3965,1.3203,0.9566,1.0228,0.9995,0.5701,0.9755
1.3111,0.9886,0.8756,0.9227,7.1210,1.4386,0.7906,1.0018,0.5666,0.6602,0.6175,0.8907,0.8521,1.3343,1.0436,0.9518,0.8870,0.9279,1.1612,0.9045,0.6086,0.5977,1.9782,0.8746,1.0504,1.0525,1.0958,0.8258,2.2985,1.5885,0.6459,1.1573,1.1234,0.6233,0.9982
1.1501,0.9725,0.8205,0.9582,7.0056,1.5042,0.9704,1.0008,0.6645,0.4699,0.7348,1.1849,1.0154,1.0995,1.2135,0.7826,0.6745,1.6296,1.1350,1.0031,0.9429,0.9442,1.9969,1.0185,1.0387,0.9088,1.2969,0.9429,1.6278,1.7312,0.9810,0.9446,0.9023,0.8644,1.1171
1.7513,1.4041,1.0539,1.2049,20.9193,2.2393,1.2172,1.3078,0.9106,0.8681,0.9595,1.6144,0.8118,1.9419,1.8215,1.0941,1.0065,0.7803,1.3912,0.8293,0.9692,1.0819,1.8635,1.0757,0.9510,0.9973,1.2614,0.9112,1.5856,1.3963,1.1584,0.8228,0.9396,0.9836,0.9977
1.6901,1.2703,0.8918,1.0928,33.3898,2.0180,0.9329,1.0130,0.7763,0.7884,0.7790,1.3669,1.0718,1.6758,1.1902,0.7387,0.8606,0.7891,1.0778,1.1382,1.1266,0.9673,1.9154,1.0000,1.2119,0.8727,1.5885,1.0061,6.9242,5.1772,1.3880,0.7863,1.2977,0.9925,0.9593
1.5431,1.1687,0.8875,1.0416,27.5805,1.2916,1.0146,0.9255,0.8026,0.7885,0.8419,1.6821,0.9314,1.7996,1.9278,0.9120,1.0401,0.7890,1.2203,0.8386,1.0038,1.0540,1.9515,1.0457,1.0383,0.8799,1.8239,0.9356,4.7576,3.6623,1.1623,0.7586,1.1561,0.8303,1.0672
1.5116,1.1743,0.9395,0.9371,30.0676,1.2509,0.9984,0.9672,0.9110,0.7828,0.9028,1.3538,1.2752,2.1808,2.3766,0.7790,1.0933,1.2547,1.2485,1.0000,0.8592,1.0395,1.5225,0.7985,0.8559,0.9965,1.5201,0.8048,3.9280,3.4676,0.9157,1.0650,0.9486,0.3370,0.9272
1.7172,1.1824,1.0009,0.9918,34.5430,3.2123,0.8574,1.4518,0.9449,0.6893,0.7890,1.6463,0.6704,1.9606,2.9614,0.6677,1.3382,0.9316,1.3841,0.4945,1.1302,1.2525,0.8371,0.8768,0.7936,0.8853,1.3217,0.7891,1.7043,1.9864,1.2638,0.9999,0.9439,0.4659,0.8324
1.3607,1.0326,0.7318,0.7376,55.4099,1.5408,1.0348,1.0988,0.9520,0.6742,0.7699,1.4855,0.9852,1.8997,2.1603,0.6944,1.1048,0.3891,1.0796,0.7045,1.1832,1.0928,2.2841,1.2157,1.3053,0.8731,1.1945,1.3122,1.0019,1.7719,1.2578,0.5623,0.7035,1.2307,0.7742
1.3644,1.0784,0.9637,0.9546,40.9643,1.8070,1.0001,1.1032,0.9824,0.6290,0.7732,1.3248,0.8214,1.7546,1.6691,0.6651,1.0647,0.4777,1.0183,0.6331,1.3278,1.3012,2.2839,1.3088,0.8535,0.7366,1.1683,0.9286,1.3221,2.2585,1.3698,0.6386,0.8764,1.4031,0.8635
1.0109,1.0072,0.7959,0.9330,17.4639,2.4740,0.8935,1.0589,0.8570,0.6123,0.5659,1.2607,0.9983,1.4064,1.5062,0.6895,1.1701,0.5392,0.8859,0.7841,1.0022,1.1074,1.9568,1.0759,1.2300,0.8259,1.3568,0.6521,1.0011,1.7667,1.0976,0.7023,0.9667,0.9308,0.8672
